test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7004
Bug new joiner was not publishing on correct SFU,9500.689863615737,0.0,42,120,failed,7004
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7004
Create and join a group call,1317.5603819618636,0.0,10,155,failed,7004
Decline a new video call in DM as widget,7075.854154726294,0.0,36,113,failed,7004
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7004
Footer interaction in PiP,1905.8631308080417,0.0,17,31,failed,7004
Landing page,0.0,0.0,0,0,pass,7004
One to One call using matrix rtc 2.0 aka sticky events,3402.856909388015,0.0,10,15,failed,7004
One to One rejoin after improper leave does not crash EC,3402.856909388015,0.0,10,15,failed,7004
Put call in PIP,3370.822891238401,0.0,11,60,failed,7004
Sharing screen in group call,2320.635357457802,0.0,16,88,failed,7004
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7004
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7004
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7004
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7004
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7004
Start a new call as widget,3370.822891238401,0.0,18,64,failed,7004
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,7004
Start a new video call in DM as widget,3370.822891238401,0.0,12,64,failed,7004
Start a new voice call in DM as widget,6963.956475831874,0.0,29,113,failed,7004
Test federated call with rtc modes compat and compat,8335.494191326827,0.0,27,119,failed,7004
Test federated call with rtc modes compat and legacy,1905.8631308080417,0.0,19,61,failed,7004
Test federated call with rtc modes legacy and compat,8335.494191326827,0.0,28,119,failed,7004
Test federated call with rtc modes legacy and legacy,2341.9768180065016,0.0,24,61,failed,7004
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9500.689863615737,0.0,28,120,failed,7004
"When creator left, avoid reconnect to the same SFU",3109.2526245355125,0.0,8,21,failed,7004
can only interact with header and footer while reconnecting,1193.724853641655,0.0,5,18,pass,7004
has title,0.0,0.0,0,0,pass,7004
