test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6892
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,73,120,failed,6892
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6892
Decline a new video call in DM as widget,6963.313659105492,0.0,65,113,failed,6892
Error when pre-warming the focus are caught by the ErrorBoundary,0.0,0.0,0,0,failed,6892
Footer interaction in PiP,5984.20861329963,0.0,25,48,failed,6892
Landing page,0.0,0.0,0,0,pass,6892
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6892
One to One rejoin after improper leave does not crash EC,3402.856909388015,0.0,10,15,failed,6892
Put call in PIP,9797.082174623176,0.0,32,117,pass,6892
Sharing screen in group call,1317.5603819618636,0.0,6,88,failed,6892
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6892
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6892
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6892
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6892
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6892
Start a new call as widget,2204.629554012839,0.0,62,64,failed,6892
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6892
Start a new video call in DM as widget,2204.629554012839,0.0,32,64,failed,6892
Start a new voice call in DM as widget,2204.629554012839,0.0,21,64,failed,6892
Test federated call with rtc modes compat and compat,8086.307969294199,0.0,37,119,failed,6892
Test federated call with rtc modes compat and legacy,8399.902383715556,0.0,37,119,failed,6892
Test federated call with rtc modes legacy and compat,4883.214364521074,0.0,33,119,failed,6892
Test federated call with rtc modes legacy and legacy,8086.307969294199,0.0,32,119,failed,6892
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9404.076015162364,0.0,41,120,failed,6892
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6892
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,6892
has title,0.0,0.0,0,0,pass,6892
