test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6905
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,40,120,failed,6905
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6905
Decline a new video call in DM as widget,4591.801867136543,0.0,88,113,failed,6905
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6905
Footer interaction in PiP,5984.20861329963,0.0,26,48,failed,6905
Landing page,0.0,0.0,0,0,pass,6905
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6905
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6905
Put call in PIP,9758.806856205167,0.0,29,117,failed,6905
Sharing screen in group call,8563.231548730753,0.0,283,178,pass,6905
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6905
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6905
Should show error screen if call creation is restricted,894.0939729582108,0.0,3,17,failed,6905
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6905
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6905
Start a new call as widget,902.7881553121034,0.0,2,31,failed,6905
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6905
Start a new video call in DM as widget,4591.801867136543,0.0,97,113,failed,6905
Start a new voice call in DM as widget,2204.629554012839,0.0,32,64,failed,6905
Test federated call with rtc modes compat and compat,1317.5603819618636,0.0,4,61,failed,6905
Test federated call with rtc modes compat and legacy,4883.214364521074,0.0,112,119,failed,6905
Test federated call with rtc modes legacy and compat,1317.5603819618636,0.0,4,61,failed,6905
Test federated call with rtc modes legacy and legacy,902.7881553121034,0.0,4,61,failed,6905
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,56,120,failed,6905
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6905
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6905
has title,0.0,0.0,0,0,pass,6905
