test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7008
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,17,62,failed,7008
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7008
Create and join a group call,1317.5603819618636,0.0,10,155,failed,7008
Decline a new video call in DM as widget,3370.822891238401,0.0,11,64,failed,7008
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7008
Footer interaction in PiP,1905.8631308080417,0.0,9,31,failed,7008
Landing page,0.0,0.0,0,0,pass,7008
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7008
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7008
Put call in PIP,9909.62267024398,0.0,61,117,pass,7008
Sharing screen in group call,0.0,0.0,0,0,failed,7008
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7008
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7008
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7008
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7008
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7008
Start a new call as widget,2367.7479157424627,0.0,9,64,failed,7008
Start a new call then leave and show the feedback screen,1474.6140520374963,0.0,5,17,failed,7008
Start a new video call in DM as widget,3370.822891238401,0.0,15,64,failed,7008
Start a new voice call in DM as widget,7101.89613300615,0.0,24,113,failed,7008
Test federated call with rtc modes compat and compat,8351.420838494256,0.0,28,119,failed,7008
Test federated call with rtc modes compat and legacy,2341.9768180065016,0.0,12,61,failed,7008
Test federated call with rtc modes legacy and compat,2101.4647667930203,0.0,27,61,failed,7008
Test federated call with rtc modes legacy and legacy,2204.037160832225,0.0,13,61,failed,7008
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3370.822891238401,0.0,23,62,failed,7008
"When creator left, avoid reconnect to the same SFU",3109.2526245355125,0.0,8,21,failed,7008
can only interact with header and footer while reconnecting,1193.724853641655,0.0,5,18,pass,7008
has title,0.0,0.0,0,0,pass,7008
