test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6937
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,98,120,failed,6937
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1745.3871117952801,0.0,8,14,pass,6937
Create and join a group call,902.7881553121034,0.0,10,155,failed,6937
Decline a new video call in DM as widget,2204.629554012839,0.0,76,64,failed,6937
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6937
Footer interaction in PiP,5199.977543103269,0.0,21,48,failed,6937
Landing page,0.0,0.0,0,0,pass,6937
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6937
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6937
Put call in PIP,9797.082174623176,0.0,82,117,pass,6937
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6937
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6937
Should request JWT token before starting the call,894.0939729582108,0.0,3,17,failed,6937
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6937
Should show error screen if fails to get JWT token,894.0939729582108,0.0,3,17,failed,6937
"Sign up a new account, then login, then logout",3175.364241319921,0.0,11,82,pass,6937
Start a new call as widget,3681.5253587949583,0.0,20,76,failed,6937
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6937
Start a new video call in DM as widget,2204.629554012839,0.0,48,64,failed,6937
Start a new voice call in DM as widget,2204.629554012839,0.0,79,64,failed,6937
Test federated call with rtc modes compat and compat,1529.6022618208003,0.0,18,61,failed,6937
Test federated call with rtc modes compat and legacy,5147.214364521074,0.0,57,119,failed,6937
Test federated call with rtc modes legacy and compat,5147.214364521074,0.0,158,119,failed,6937
Test federated call with rtc modes legacy and legacy,5196.80877894243,0.0,40,119,failed,6937
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,43,120,failed,6937
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6937
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6937
has title,0.0,0.0,0,0,pass,6937
