test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7020
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,44,120,failed,7020
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7020
Create and join a group call,1732.3326086116238,0.0,10,155,failed,7020
Decline a new video call in DM as widget,7802.2904168288505,0.0,37,113,failed,7020
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7020
Footer interaction in PiP,5984.20861329963,0.0,25,48,failed,7020
Landing page,0.0,0.0,0,0,pass,7020
One to One call using matrix rtc 2.0 aka sticky events,3402.856909388015,0.0,10,15,failed,7020
One to One rejoin after improper leave does not crash EC,3402.856909388015,0.0,10,15,failed,7020
Put call in PIP,9797.082174623176,0.0,54,117,pass,7020
Sharing screen in group call,1317.5603819618636,0.0,6,88,failed,7020
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7020
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7020
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7020
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7020
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,7020
Start a new call as widget,1682.9124049946947,0.0,14,31,failed,7020
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7020
Start a new video call in DM as widget,6963.313659105492,0.0,56,113,failed,7020
Start a new voice call in DM as widget,6989.355637385348,0.0,48,113,failed,7020
Test federated call with rtc modes compat and compat,8656.928255641988,0.0,70,119,failed,7020
Test federated call with rtc modes compat and legacy,8102.234616461629,0.0,178,119,failed,7020
Test federated call with rtc modes legacy and compat,8814.674610365315,0.0,38,119,failed,7020
Test federated call with rtc modes legacy and legacy,4883.214364521074,0.0,84,119,failed,7020
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,37,120,failed,7020
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7020
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7020
has title,0.0,0.0,0,0,pass,7020
