test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6932
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,27,120,failed,6932
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1745.3871117952801,0.0,8,14,pass,6932
Create and join a group call,2147.104835261384,0.0,10,155,failed,6932
Decline a new video call in DM as widget,4591.801867136543,0.0,38,113,failed,6932
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6932
Footer interaction in PiP,5984.20861329963,0.0,51,48,failed,6932
Landing page,0.0,0.0,0,0,pass,6932
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6932
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6932
Put call in PIP,9797.082174623176,0.0,46,117,pass,6932
Sharing screen in group call,1317.5603819618636,0.0,6,88,failed,6932
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6932
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6932
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6932
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6932
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6932
Start a new call as widget,2204.629554012839,0.0,29,64,failed,6932
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6932
Start a new video call in DM as widget,2831.4436605215355,0.0,30,64,failed,6932
Start a new voice call in DM as widget,2204.629554012839,0.0,7,64,failed,6932
Test federated call with rtc modes compat and compat,8399.902383715556,0.0,153,119,failed,6932
Test federated call with rtc modes compat and legacy,1317.5603819618636,0.0,4,61,failed,6932
Test federated call with rtc modes legacy and compat,4883.214364521074,0.0,69,119,failed,6932
Test federated call with rtc modes legacy and legacy,8399.902383715556,0.0,59,119,failed,6932
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,96,120,failed,6932
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6932
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6932
has title,0.0,0.0,0,0,pass,6932
