test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6941
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,176,120,failed,6941
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1745.3871117952801,0.0,8,14,pass,6941
Create and join a group call,1732.3326086116238,0.0,10,155,failed,6941
Decline a new video call in DM as widget,2204.629554012839,0.0,83,64,failed,6941
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6941
Footer interaction in PiP,4218.433355177902,0.0,18,48,failed,6941
Landing page,0.0,0.0,0,0,pass,6941
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6941
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6941
Put call in PIP,9797.082174623176,0.0,122,117,pass,6941
Sharing screen in group call,1732.3326086116238,0.0,6,88,failed,6941
Should automatically retry non fatal JWT errors,894.0939729582108,0.0,3,17,failed,6941
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6941
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6941
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6941
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6941
Start a new call as widget,2204.629554012839,0.0,17,64,failed,6941
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6941
Start a new video call in DM as widget,4591.801867136543,0.0,41,113,failed,6941
Start a new voice call in DM as widget,3193.0452350180894,0.0,52,64,failed,6941
Test federated call with rtc modes compat and compat,5453.834650868862,0.0,48,119,failed,6941
Test federated call with rtc modes compat and legacy,902.7881553121034,0.0,4,61,failed,6941
Test federated call with rtc modes legacy and compat,8814.674610365315,0.0,93,119,failed,6941
Test federated call with rtc modes legacy and legacy,8399.902383715556,0.0,42,119,failed,6941
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,62,120,failed,6941
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6941
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6941
has title,0.0,0.0,0,0,pass,6941
