test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6983
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,29,120,failed,6983
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,6983
Create and join a group call,2147.104835261384,0.0,10,155,failed,6983
Decline a new video call in DM as widget,6963.313659105492,0.0,34,113,failed,6983
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6983
Footer interaction in PiP,5984.20861329963,0.0,21,48,failed,6983
Landing page,0.0,0.0,0,0,pass,6983
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6983
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6983
Put call in PIP,9797.082174623176,0.0,50,117,pass,6983
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6983
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6983
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6983
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6983
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6983
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6983
Start a new call as widget,8228.779459608542,0.0,60,119,pass,6983
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6983
Start a new video call in DM as widget,4591.801867136543,0.0,30,113,failed,6983
Start a new voice call in DM as widget,6989.355637385348,0.0,95,113,failed,6983
Test federated call with rtc modes compat and compat,8392.928255641988,0.0,204,119,failed,6983
Test federated call with rtc modes compat and legacy,4883.214364521074,0.0,22,119,failed,6983
Test federated call with rtc modes legacy and compat,8765.08019594396,0.0,135,119,failed,6983
Test federated call with rtc modes legacy and legacy,8086.307969294199,0.0,29,119,failed,6983
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,61,120,failed,6983
"When creator left, avoid reconnect to the same SFU",4307.084761446641,0.0,11,28,failed,6983
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,6983
has title,0.0,0.0,0,0,pass,6983
