test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7131
Bug new joiner was not publishing on correct SFU,3370.822891238401,0.0,20,62,failed,7131
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7131
Create and join a group call,1732.3326086116238,0.0,10,155,failed,7131
Decline a new video call in DM as widget,3370.822891238401,0.0,16,64,failed,7131
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7131
Footer interaction in PiP,1905.8631308080417,0.0,8,31,failed,7131
Landing page,0.0,0.0,0,0,pass,7131
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7131
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7131
Put call in PIP,3232.8832340641243,0.0,83,60,failed,7131
Sharing screen in group call,3648.1160762908735,0.0,97,178,failed,7131
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7131
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7131
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7131
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7131
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,7131
Start a new call as widget,8219.343543883584,0.0,84,119,pass,7131
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7131
Start a new video call in DM as widget,3370.822891238401,0.0,13,64,failed,7131
Start a new voice call in DM as widget,3232.8832340641243,0.0,29,64,failed,7131
Test federated call with rtc modes compat and compat,8334.388294890852,0.0,30,119,failed,7131
Test federated call with rtc modes compat and legacy,5006.3402437279765,0.0,39,119,failed,7131
Test federated call with rtc modes legacy and compat,8224.912529436873,0.0,63,119,failed,7131
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,178,61,failed,7131
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3370.822891238401,0.0,25,62,failed,7131
"When creator left, avoid reconnect to the same SFU",4307.084761446641,0.0,11,28,failed,7131
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,7131
has title,0.0,0.0,0,0,pass,7131
