test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7001
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,16,62,failed,7001
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7001
Create and join a group call,1732.3326086116238,0.0,10,155,failed,7001
Decline a new video call in DM as widget,3232.8832340641243,0.0,16,64,failed,7001
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7001
Footer interaction in PiP,5969.394835332257,0.0,16,48,failed,7001
Landing page,0.0,0.0,0,0,pass,7001
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7001
One to One rejoin after improper leave does not crash EC,3402.856909388015,0.0,10,15,failed,7001
Put call in PIP,3370.822891238401,0.0,12,60,failed,7001
Sharing screen in group call,2848.635357457802,0.0,40,88,failed,7001
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7001
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7001
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7001
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7001
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7001
Start a new call as widget,3370.822891238401,0.0,24,64,failed,7001
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7001
Start a new video call in DM as widget,6937.914497552018,0.0,21,113,failed,7001
Start a new voice call in DM as widget,3232.8832340641243,0.0,33,64,failed,7001
Test federated call with rtc modes compat and compat,2169.8631308080417,0.0,11,61,failed,7001
Test federated call with rtc modes compat and legacy,1905.8631308080417,0.0,13,61,failed,7001
Test federated call with rtc modes legacy and compat,8473.433848501103,0.0,27,119,failed,7001
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,15,61,failed,7001
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9500.689863615737,0.0,27,120,failed,7001
"When creator left, avoid reconnect to the same SFU",2908.0934835550443,0.0,7,14,failed,7001
can only interact with header and footer while reconnecting,1193.724853641655,0.0,5,18,pass,7001
has title,0.0,0.0,0,0,pass,7001
