test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7081
Bug new joiner was not publishing on correct SFU,9499.583967179764,0.0,66,120,failed,7081
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7081
Create and join a group call,3044.23699344278,0.0,26,155,failed,7081
Decline a new video call in DM as widget,3232.8832340641243,0.0,25,64,failed,7081
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7081
Footer interaction in PiP,6146.689073409598,0.0,18,48,pass,7081
Landing page,0.0,0.0,0,0,pass,7081
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7081
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7081
Put call in PIP,3370.822891238401,0.0,11,60,failed,7081
Sharing screen in group call,1905.8631308080417,0.0,18,88,failed,7081
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7081
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7081
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7081
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7081
"Sign up a new account, then login, then logout",3175.364241319921,0.0,11,82,pass,7081
Start a new call as widget,3232.8832340641243,0.0,20,64,failed,7081
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,7081
Start a new video call in DM as widget,7075.854154726294,0.0,54,113,failed,7081
Start a new voice call in DM as widget,3370.822891238401,0.0,15,64,failed,7081
Test federated call with rtc modes compat and compat,4868.4005865537,0.0,72,119,failed,7081
Test federated call with rtc modes compat and legacy,1905.8631308080417,0.0,28,61,failed,7081
Test federated call with rtc modes legacy and compat,8070.388294890853,0.0,27,119,failed,7081
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,13,61,failed,7081
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,13,62,failed,7081
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7081
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7081
has title,0.0,0.0,0,0,pass,7081
