test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6979
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,56,120,failed,6979
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",894.0939729582108,0.0,3,14,failed,6979
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6979
Decline a new video call in DM as widget,1682.9124049946947,0.0,28,31,failed,6979
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6979
Footer interaction in PiP,2379.6839600942226,0.0,37,39,failed,6979
Landing page,0.0,0.0,0,0,pass,6979
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6979
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6979
Put call in PIP,9797.082174623176,0.0,152,117,pass,6979
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6979
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6979
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6979
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6979
Should show error screen if fails to get JWT token,894.0939729582108,0.0,3,17,failed,6979
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6979
Start a new call as widget,1682.9124049946947,0.0,58,31,failed,6979
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6979
Start a new video call in DM as widget,1682.9124049946947,0.0,38,31,failed,6979
Start a new voice call in DM as widget,2204.629554012839,0.0,13,64,failed,6979
Test federated call with rtc modes compat and compat,1944.3744884705604,0.0,96,61,failed,6979
Test federated call with rtc modes compat and legacy,8392.928255641988,0.0,66,119,failed,6979
Test federated call with rtc modes legacy and compat,902.7881553121034,0.0,4,61,failed,6979
Test federated call with rtc modes legacy and legacy,1317.5603819618636,0.0,4,61,failed,6979
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,105,120,failed,6979
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6979
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6979
has title,0.0,0.0,0,0,pass,6979
