test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6879
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,45,120,failed,6879
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6879
Decline a new video call in DM as widget,2831.4436605215355,0.0,34,64,failed,6879
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6879
Footer interaction in PiP,5984.20861329963,0.0,37,48,failed,6879
Landing page,0.0,0.0,0,0,pass,6879
One to One call using matrix rtc 2.0 aka sticky events,3402.856909388015,0.0,10,15,failed,6879
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6879
Put call in PIP,9797.082174623176,0.0,41,117,pass,6879
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6879
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6879
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6879
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6879
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6879
"Sign up a new account, then login, then logout",3175.364241319921,0.0,11,82,pass,6879
Start a new call as widget,3681.5253587949583,0.0,24,76,failed,6879
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6879
Start a new video call in DM as widget,2204.629554012839,0.0,55,64,failed,6879
Start a new voice call in DM as widget,2831.4436605215355,0.0,21,64,failed,6879
Test federated call with rtc modes compat and compat,9071.700482291748,0.0,40,119,failed,6879
Test federated call with rtc modes compat and legacy,1317.5603819618636,0.0,4,61,failed,6879
Test federated call with rtc modes legacy and compat,4883.214364521074,0.0,29,119,failed,6879
Test federated call with rtc modes legacy and legacy,8350.3079692942,0.0,59,119,failed,6879
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,139,120,failed,6879
"When creator left, avoid reconnect to the same SFU",4307.084761446641,0.0,11,28,failed,6879
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6879
has title,0.0,0.0,0,0,pass,6879
