test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7095
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,16,62,failed,7095
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7095
Create and join a group call,1317.5603819618636,0.0,10,155,failed,7095
Decline a new video call in DM as widget,6937.914497552018,0.0,51,113,failed,7095
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7095
Footer interaction in PiP,1905.8631308080417,0.0,9,31,failed,7095
Landing page,0.0,0.0,0,0,pass,7095
One to One call using matrix rtc 2.0 aka sticky events,3401.599744055208,0.0,10,15,failed,7095
One to One rejoin after improper leave does not crash EC,3401.599744055208,0.0,10,15,failed,7095
Put call in PIP,9909.62267024398,0.0,46,117,pass,7095
Sharing screen in group call,1317.5603819618636,0.0,6,88,failed,7095
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7095
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7095
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7095
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7095
"Sign up a new account, then login, then logout",2226.080970260481,0.0,9,82,failed,7095
Start a new call as widget,3794.0658544157604,0.0,21,76,failed,7095
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7095
Start a new video call in DM as widget,3370.822891238401,0.0,41,64,failed,7095
Start a new voice call in DM as widget,3370.822891238401,0.0,53,64,failed,7095
Test federated call with rtc modes compat and compat,2756.749044656262,0.0,11,61,failed,7095
Test federated call with rtc modes compat and legacy,2204.037160832225,0.0,24,61,failed,7095
Test federated call with rtc modes legacy and compat,2618.809387481985,0.0,16,61,failed,7095
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,14,61,failed,7095
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9499.583967179764,0.0,31,120,failed,7095
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7095
can only interact with header and footer while reconnecting,1193.724853641655,0.0,5,18,pass,7095
has title,0.0,0.0,0,0,pass,7095
