test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,6994
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,20,62,failed,6994
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,6994
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6994
Decline a new video call in DM as widget,7776.891255275376,0.0,22,113,pass,6994
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6994
Footer interaction in PiP,1905.8631308080417,0.0,9,31,failed,6994
Landing page,0.0,0.0,0,0,pass,6994
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6994
One to One rejoin after improper leave does not crash EC,3402.856909388015,0.0,10,15,failed,6994
Put call in PIP,3370.822891238401,0.0,11,60,failed,6994
Sharing screen in group call,1905.8631308080417,0.0,22,88,failed,6994
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6994
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6994
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6994
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6994
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,6994
Start a new call as widget,8359.934044437581,0.0,26,119,pass,6994
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6994
Start a new video call in DM as widget,3232.8832340641243,0.0,13,64,failed,6994
Start a new voice call in DM as widget,7101.89613300615,0.0,30,113,failed,6994
Test federated call with rtc modes compat and compat,8087.420838494256,0.0,28,119,failed,6994
Test federated call with rtc modes compat and legacy,1905.8631308080417,0.0,11,61,failed,6994
Test federated call with rtc modes legacy and compat,1905.8631308080417,0.0,13,61,failed,6994
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,11,61,failed,6994
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3370.822891238401,0.0,15,62,failed,6994
"When creator left, avoid reconnect to the same SFU",5290.770159050964,0.0,14,28,failed,6994
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,6994
has title,0.0,0.0,0,0,pass,6994
