test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Bug new joiner was not publishing on correct SFU,1932.8968989751168,0.0,5,62,failed,6815
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6815
Decline a new video call in DM as widget,4063.0162272996668,0.0,13,113,failed,6815
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6815
Footer interaction in PiP,3659.206959150939,0.0,10,48,failed,6815
Landing page,0.0,0.0,0,0,pass,6815
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6815
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6815
Put call in PIP,5372.892294779334,0.0,13,107,failed,6815
Sharing screen in group call,1812.3744884705604,0.0,7,88,failed,6815
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,failed,6815
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6815
Should show error screen if call creation is restricted,894.0939729582108,0.0,3,17,failed,6815
Should show error screen if fails to get JWT token,0.0,0.0,0,0,failed,6815
Start a new call as widget,1932.8968989751168,0.0,5,64,failed,6815
Start a new call then leave and show the feedback screen,0.0,0.0,0,0,failed,6815
Start a new video call in DM as widget,4063.0162272996668,0.0,13,113,failed,6815
Start a new voice call in DM as widget,4063.0162272996668,0.0,13,113,failed,6815
Test federated call with rtc modes compat and compat,4342.783551116321,0.0,13,119,failed,6815
Test federated call with rtc modes compat and legacy,902.7881553121034,0.0,4,61,failed,6815
Test federated call with rtc modes legacy and compat,4342.783551116321,0.0,13,119,failed,6815
Test federated call with rtc modes legacy and legacy,902.7881553121034,0.0,4,61,failed,6815
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,5372.892294779334,0.0,13,120,failed,6815
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6815
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6815
has title,0.0,0.0,0,0,pass,6815
