test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7141
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,48,62,failed,7141
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7141
Create and join a group call,1317.5603819618636,0.0,10,155,failed,7141
Decline a new video call in DM as widget,3370.822891238401,0.0,45,64,failed,7141
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7141
Footer interaction in PiP,1905.8631308080417,0.0,26,31,failed,7141
Landing page,0.0,0.0,0,0,pass,7141
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7141
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7141
Put call in PIP,3370.822891238401,0.0,31,60,failed,7141
Sharing screen in group call,8439.138157028035,0.0,74,178,pass,7141
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7141
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7141
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7141
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7141
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7141
Start a new call as widget,902.7881553121034,0.0,2,31,failed,7141
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7141
Start a new video call in DM as widget,7075.854154726294,0.0,33,113,failed,7141
Start a new voice call in DM as widget,2367.7479157424627,0.0,12,64,failed,7141
Test federated call with rtc modes compat and compat,2365.4647667930203,0.0,24,61,failed,7141
Test federated call with rtc modes compat and legacy,8334.388294890852,0.0,42,119,failed,7141
Test federated call with rtc modes legacy and compat,8334.388294890852,0.0,60,119,failed,7141
Test federated call with rtc modes legacy and legacy,2169.8631308080417,0.0,19,61,failed,7141
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,17,62,failed,7141
"When creator left, avoid reconnect to the same SFU",4307.084761446641,0.0,11,28,failed,7141
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7141
has title,0.0,0.0,0,0,pass,7141
