test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6963
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,70,120,failed,6963
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1745.3871117952801,0.0,8,14,pass,6963
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6963
Decline a new video call in DM as widget,4591.801867136543,0.0,56,113,failed,6963
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6963
Footer interaction in PiP,5984.20861329963,0.0,22,48,failed,6963
Landing page,0.0,0.0,0,0,pass,6963
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6963
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6963
Put call in PIP,7387.506082839639,0.0,69,117,failed,6963
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6963
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6963
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6963
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6963
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6963
"Sign up a new account, then login, then logout",2226.080970260481,0.0,9,82,failed,6963
Start a new call as widget,2204.629554012839,0.0,93,64,failed,6963
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6963
Start a new video call in DM as widget,2204.629554012839,0.0,96,64,failed,6963
Start a new voice call in DM as widget,2204.629554012839,0.0,102,64,failed,6963
Test federated call with rtc modes compat and compat,4883.214364521074,0.0,21,119,failed,6963
Test federated call with rtc modes compat and legacy,5196.80877894243,0.0,71,119,failed,6963
Test federated call with rtc modes legacy and compat,8415.829030882986,0.0,107,119,failed,6963
Test federated call with rtc modes legacy and legacy,8392.928255641988,0.0,235,119,failed,6963
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,83,120,failed,6963
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6963
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6963
has title,0.0,0.0,0,0,pass,6963
