test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7083
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,41,62,failed,7083
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7083
Create and join a group call,902.7881553121034,0.0,10,155,failed,7083
Decline a new video call in DM as widget,3232.8832340641243,0.0,26,64,failed,7083
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7083
Footer interaction in PiP,6479.878537342559,0.0,53,48,failed,7083
Landing page,0.0,0.0,0,0,pass,7083
One to One call using matrix rtc 2.0 aka sticky events,3401.599744055208,0.0,10,15,failed,7083
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7083
Put call in PIP,9909.62267024398,0.0,29,117,pass,7083
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,7083
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7083
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7083
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7083
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7083
"Sign up a new account, then login, then logout",3175.364241319921,0.0,11,82,failed,7083
Start a new call as widget,6522.949339418512,0.0,61,119,failed,7083
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,7083
Start a new video call in DM as widget,7075.854154726294,0.0,34,113,failed,7083
Start a new voice call in DM as widget,3370.822891238401,0.0,28,64,failed,7083
Test federated call with rtc modes compat and compat,2756.749044656262,0.0,79,61,failed,7083
Test federated call with rtc modes compat and legacy,8208.32795206513,0.0,52,119,failed,7083
Test federated call with rtc modes legacy and compat,2169.8631308080417,0.0,73,61,failed,7083
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,21,61,failed,7083
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9499.583967179764,0.0,40,120,failed,7083
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7083
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,7083
has title,0.0,0.0,0,0,pass,7083
