test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6967
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,21,120,failed,6967
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,6967
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6967
Decline a new video call in DM as widget,2204.629554012839,0.0,13,64,failed,6967
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6967
Footer interaction in PiP,6016.974853987041,0.0,18,48,failed,6967
Landing page,0.0,0.0,0,0,pass,6967
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6967
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6967
Put call in PIP,9797.082174623176,0.0,62,117,pass,6967
Sharing screen in group call,1732.3326086116238,0.0,6,88,failed,6967
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,failed,6967
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6967
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,failed,6967
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6967
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6967
Start a new call as widget,3681.5253587949583,0.0,79,76,failed,6967
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6967
Start a new video call in DM as widget,2204.629554012839,0.0,62,64,failed,6967
Start a new voice call in DM as widget,2204.629554012839,0.0,59,64,failed,6967
Test federated call with rtc modes compat and compat,8656.928255641988,0.0,88,119,failed,6967
Test federated call with rtc modes compat and legacy,902.7881553121034,0.0,4,61,failed,6967
Test federated call with rtc modes legacy and compat,5147.214364521074,0.0,96,119,failed,6967
Test federated call with rtc modes legacy and legacy,4883.214364521074,0.0,19,119,failed,6967
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,48,120,failed,6967
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6967
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6967
has title,0.0,0.0,0,0,pass,6967
