test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6943
Bug new joiner was not publishing on correct SFU,6185.055763221809,0.0,76,120,failed,6943
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6943
Decline a new video call in DM as widget,2204.629554012839,0.0,11,64,failed,6943
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6943
Footer interaction in PiP,5984.20861329963,0.0,19,48,failed,6943
Landing page,0.0,0.0,0,0,pass,6943
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6943
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6943
Put call in PIP,9556.834085763208,0.0,94,117,failed,6943
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6943
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,failed,6943
Should request JWT token before starting the call,908.0939729582108,0.0,4,17,failed,6943
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,failed,6943
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,failed,6943
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6943
Start a new call as widget,2831.4436605215355,0.0,67,64,failed,6943
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6943
Start a new video call in DM as widget,4127.498114280416,0.0,26,107,failed,6943
Start a new voice call in DM as widget,2204.629554012839,0.0,37,64,failed,6943
Test federated call with rtc modes compat and compat,5561.986591170833,0.0,27,119,failed,6943
Test federated call with rtc modes compat and legacy,5561.986591170833,0.0,95,119,failed,6943
Test federated call with rtc modes legacy and compat,2643.6839600942226,0.0,61,70,failed,6943
Test federated call with rtc modes legacy and legacy,2379.6839600942226,0.0,108,70,failed,6943
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,59,120,failed,6943
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6943
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6943
has title,0.0,0.0,0,0,pass,6943
