test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Bug new joiner was not publishing on correct SFU,5588.513347619606,0.0,17,142,failed,6812
Create and join a group call,4458.092250705177,0.0,19,167,failed,6812
Decline a new video call in DM as widget,1052.6414543846827,0.0,4,42,failed,6812
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6812
Footer interaction in PiP,6217.441310891275,0.0,18,59,failed,6812
Landing page,0.0,0.0,0,0,pass,6812
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6812
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6812
Put call in PIP,2187.791719824848,0.0,9,82,failed,6812
Sharing screen in group call,1052.6414543846827,0.0,4,41,failed,6812
Should automatically retry non fatal JWT errors,894.0939729582108,0.0,3,17,failed,6812
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6812
Should show error screen if call creation is restricted,894.0939729582108,0.0,3,17,failed,6812
Should show error screen if fails to get JWT token,0.0,0.0,0,0,failed,6812
Start a new call as widget,1052.6414543846827,0.0,4,42,failed,6812
Start a new video call in DM as widget,2187.791719824848,0.0,9,86,failed,6812
Start a new voice call in DM as widget,2187.791719824848,0.0,9,86,failed,6812
Test federated call with rtc modes compat and compat,2187.791719824848,0.0,9,84,failed,6812
Test federated call with rtc modes compat and legacy,2187.791719824848,0.0,9,84,failed,6812
Test federated call with rtc modes legacy and compat,2187.791719824848,0.0,9,84,failed,6812
Test federated call with rtc modes legacy and legacy,2187.791719824848,0.0,9,84,failed,6812
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,1052.6414543846827,0.0,4,44,failed,6812
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6812
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6812
has title,0.0,0.0,0,0,pass,6812
