test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6779
Bug new joiner was not publishing on correct SFU,3152.7397189580815,0.0,9,71,failed,6779
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6779
Decline a new video call in DM as widget,1932.8968989751168,0.0,5,64,failed,6779
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6779
Footer interaction in PiP,2122.6309752950683,0.0,6,39,failed,6779
Landing page,0.0,0.0,0,0,pass,6779
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6779
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6779
Put call in PIP,1932.8968989751168,0.0,5,60,failed,6779
Sharing screen in group call,1317.5603819618636,0.0,6,88,failed,6779
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6779
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6779
Should show error screen if fails to get JWT token,894.0939729582108,0.0,3,17,failed,6779
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6779
Start a new call as widget,1932.8968989751168,0.0,5,64,failed,6779
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6779
Start a new video call in DM as widget,1932.8968989751168,0.0,5,64,failed,6779
Start a new voice call in DM as widget,3116.1505613173586,0.0,10,107,failed,6779
Test federated call with rtc modes compat and compat,902.7881553121034,0.0,4,61,failed,6779
Test federated call with rtc modes compat and legacy,2122.6309752950683,0.0,9,70,failed,6779
Test federated call with rtc modes legacy and compat,902.7881553121034,0.0,4,61,failed,6779
Test federated call with rtc modes legacy and legacy,902.7881553121034,0.0,4,61,failed,6779
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,1932.8968989751168,0.0,5,62,failed,6779
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6779
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6779
has title,0.0,0.0,0,0,pass,6779
