test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7115
Bug new joiner was not publishing on correct SFU,3370.822891238401,0.0,12,62,failed,7115
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7115
Create and join a group call,2825.0664027779985,0.0,68,155,failed,7115
Decline a new video call in DM as widget,3370.822891238401,0.0,18,64,failed,7115
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7115
Footer interaction in PiP,1905.8631308080417,0.0,6,31,failed,7115
Landing page,0.0,0.0,0,0,pass,7115
One to One call using matrix rtc 2.0 aka sticky events,3401.599744055208,0.0,10,15,failed,7115
One to One rejoin after improper leave does not crash EC,3401.599744055208,0.0,10,15,failed,7115
Put call in PIP,9772.645227728042,0.0,28,117,pass,7115
Sharing screen in group call,2169.8631308080417,0.0,20,88,failed,7115
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7115
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7115
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7115
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7115
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7115
Start a new call as widget,3370.822891238401,0.0,16,64,failed,7115
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,7115
Start a new video call in DM as widget,8121.355865040172,0.0,32,113,pass,7115
Start a new voice call in DM as widget,7101.89613300615,0.0,25,113,failed,7115
Test federated call with rtc modes compat and compat,2169.8631308080417,0.0,17,61,failed,7115
Test federated call with rtc modes compat and legacy,9492.761379039932,0.0,31,119,failed,7115
Test federated call with rtc modes legacy and compat,8472.32795206513,0.0,38,119,failed,7115
Test federated call with rtc modes legacy and legacy,1905.8631308080417,0.0,11,61,failed,7115
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,11,62,failed,7115
"When creator left, avoid reconnect to the same SFU",3720.9380221398355,0.0,10,21,failed,7115
can only interact with header and footer while reconnecting,1193.724853641655,0.0,5,18,pass,7115
has title,0.0,0.0,0,0,pass,7115
