test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7146
Bug new joiner was not publishing on correct SFU,9499.583967179764,0.0,34,120,failed,7146
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7146
Create and join a group call,1944.3744884705604,0.0,49,155,failed,7146
Decline a new video call in DM as widget,7776.891255275376,0.0,27,113,pass,7146
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7146
Footer interaction in PiP,1905.8631308080417,0.0,10,31,failed,7146
Landing page,0.0,0.0,0,0,pass,7146
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7146
One to One rejoin after improper leave does not crash EC,3401.599744055208,0.0,10,15,failed,7146
Put call in PIP,3370.822891238401,0.0,38,60,failed,7146
Sharing screen in group call,8744.019406748357,0.0,66,178,pass,7146
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7146
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7146
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7146
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7146
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,7146
Start a new call as widget,902.7881553121034,0.0,2,31,failed,7146
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7146
Start a new video call in DM as widget,8121.355865040172,0.0,28,113,pass,7146
Start a new voice call in DM as widget,6963.956475831874,0.0,35,113,failed,7146
Test federated call with rtc modes compat and compat,1905.8631308080417,0.0,30,61,failed,7146
Test federated call with rtc modes compat and legacy,1905.8631308080417,0.0,44,61,failed,7146
Test federated call with rtc modes legacy and compat,8472.32795206513,0.0,85,119,failed,7146
Test federated call with rtc modes legacy and legacy,2384.1753064630498,0.0,69,61,failed,7146
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,37,62,failed,7146
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7146
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7146
has title,0.0,0.0,0,0,pass,7146
