test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6885
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,116,120,failed,6885
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6885
Decline a new video call in DM as widget,6963.313659105492,0.0,55,113,failed,6885
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6885
Footer interaction in PiP,5984.20861329963,0.0,28,48,failed,6885
Landing page,0.0,0.0,0,0,pass,6885
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6885
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6885
Put call in PIP,7387.506082839639,0.0,93,117,failed,6885
Sharing screen in group call,8921.582840036408,0.0,282,178,pass,6885
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6885
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6885
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6885
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6885
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6885
Start a new call as widget,1529.6022618208003,0.0,4,31,failed,6885
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6885
Start a new video call in DM as widget,6963.313659105492,0.0,36,113,failed,6885
Start a new voice call in DM as widget,7728.852763816546,0.0,41,113,failed,6885
Test federated call with rtc modes compat and compat,8399.902383715556,0.0,45,119,failed,6885
Test federated call with rtc modes compat and legacy,8366.234616461628,0.0,64,119,failed,6885
Test federated call with rtc modes legacy and compat,3365.0764730917717,0.0,147,70,failed,6885
Test federated call with rtc modes legacy and legacy,1397.6022618208003,0.0,5,61,failed,6885
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,6185.055763221809,0.0,22,120,failed,6885
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6885
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6885
has title,0.0,0.0,0,0,pass,6885
