test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6910
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,41,120,failed,6910
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1745.3871117952801,0.0,8,14,pass,6910
Create and join a group call,902.7881553121034,0.0,10,155,failed,6910
Decline a new video call in DM as widget,2831.4436605215355,0.0,40,64,failed,6910
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6910
Footer interaction in PiP,5984.20861329963,0.0,30,48,failed,6910
Landing page,0.0,0.0,0,0,pass,6910
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6910
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6910
Put call in PIP,7387.506082839639,0.0,53,117,failed,6910
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,6910
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6910
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,failed,6910
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,failed,6910
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6910
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6910
Start a new call as widget,2204.629554012839,0.0,39,64,failed,6910
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6910
Start a new video call in DM as widget,4591.801867136543,0.0,52,113,failed,6910
Start a new voice call in DM as widget,2204.629554012839,0.0,15,64,failed,6910
Test federated call with rtc modes compat and compat,1682.9124049946947,0.0,57,61,failed,6910
Test federated call with rtc modes compat and legacy,902.7881553121034,0.0,4,61,failed,6910
Test federated call with rtc modes legacy and compat,6018.559778510463,0.0,47,119,failed,6910
Test federated call with rtc modes legacy and legacy,1529.6022618208003,0.0,15,61,failed,6910
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,125,120,failed,6910
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6910
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6910
has title,0.0,0.0,0,0,pass,6910
