test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",0.0,0.0,0,0,failed,7091
Bug new joiner was not publishing on correct SFU,3370.822891238401,0.0,50,62,failed,7091
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7091
Create and join a group call,2147.104835261384,0.0,10,155,failed,7091
Decline a new video call in DM as widget,3370.822891238401,0.0,22,64,failed,7091
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7091
Footer interaction in PiP,5969.394835332257,0.0,16,48,failed,7091
Landing page,0.0,0.0,0,0,pass,7091
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7091
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7091
Put call in PIP,9771.683013069702,0.0,53,117,pass,7091
Sharing screen in group call,902.7881553121034,0.0,6,88,failed,7091
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7091
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7091
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7091
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7091
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7091
Start a new call as widget,8359.934044437581,0.0,30,119,pass,7091
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7091
Start a new video call in DM as widget,7777.80928149723,0.0,45,113,failed,7091
Start a new voice call in DM as widget,3370.822891238401,0.0,36,64,failed,7091
Test federated call with rtc modes compat and compat,8334.388294890852,0.0,50,119,failed,7091
Test federated call with rtc modes compat and legacy,2341.9768180065016,0.0,23,61,failed,7091
Test federated call with rtc modes legacy and compat,2169.8631308080417,0.0,74,61,failed,7091
Test federated call with rtc modes legacy and legacy,2584.635357457802,0.0,141,61,failed,7091
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,62,62,failed,7091
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7091
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7091
has title,0.0,0.0,0,0,pass,7091
