test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6737
Bug new joiner was not publishing on correct SFU,5105.951434493425,0.0,16,142,failed,6737
Create and join a group call,5593.242516145343,0.0,24,210,failed,6737
Decline a new video call in DM as widget,2187.791719824848,0.0,9,86,failed,6737
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6737
Footer interaction in PiP,2233.2105063581885,0.0,8,50,failed,6737
Landing page,0.0,0.0,0,0,pass,6737
One to One call using matrix rtc 2.0 aka sticky events,3402.856909388015,0.0,10,15,failed,6737
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6737
Put call in PIP,5105.951434493425,0.0,16,129,failed,6737
Sharing screen in group call,6241.10169993359,0.0,21,211,failed,6737
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6737
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6737
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6737
"Sign up a new account, then login, then logout",2226.080970260481,0.0,9,82,failed,6737
Start a new call as widget,2187.791719824848,0.0,9,86,failed,6737
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6737
Start a new video call in DM as widget,2187.791719824848,0.0,9,86,failed,6737
Start a new voice call in DM as widget,2187.791719824848,0.0,9,86,failed,6737
Test federated call with rtc modes compat and compat,2187.791719824848,0.0,9,84,failed,6737
Test federated call with rtc modes compat and legacy,2187.791719824848,0.0,9,84,failed,6737
Test federated call with rtc modes legacy and compat,1052.6414543846827,0.0,4,44,failed,6737
Test federated call with rtc modes legacy and legacy,2187.791719824848,0.0,9,84,failed,6737
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3368.3607717983537,0.0,13,93,failed,6737
"When creator left, avoid reconnect to the same SFU",4312.793713957111,0.0,11,28,failed,6737
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6737
has title,0.0,0.0,0,0,pass,6737
