test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",0.0,0.0,0,0,failed,7045
Bug new joiner was not publishing on correct SFU,9361.644310005488,0.0,63,120,failed,7045
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7045
Create and join a group call,902.7881553121034,0.0,10,155,failed,7045
Decline a new video call in DM as widget,3232.8832340641243,0.0,52,64,failed,7045
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7045
Footer interaction in PiP,1905.8631308080417,0.0,25,31,failed,7045
Landing page,0.0,0.0,0,0,pass,7045
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7045
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7045
Put call in PIP,3370.822891238401,0.0,37,60,failed,7045
Sharing screen in group call,2341.9768180065016,0.0,16,88,failed,7045
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7045
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,7045
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7045
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7045
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7045
Start a new call as widget,3232.8832340641243,0.0,28,64,failed,7045
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7045
Start a new video call in DM as widget,3370.822891238401,0.0,43,64,failed,7045
Start a new voice call in DM as widget,3370.822891238401,0.0,41,64,failed,7045
Test federated call with rtc modes compat and compat,1905.8631308080417,0.0,40,61,failed,7045
Test federated call with rtc modes compat and legacy,8472.32795206513,0.0,37,119,failed,7045
Test federated call with rtc modes legacy and compat,2204.037160832225,0.0,73,61,failed,7045
Test federated call with rtc modes legacy and legacy,2169.8631308080417,0.0,20,61,failed,7045
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3232.8832340641243,0.0,66,62,failed,7045
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7045
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7045
has title,0.0,0.0,0,0,pass,7045
